id,title,url,category,topics,formats,description,active
1,درگاه ملی آمار (amar.org.ir),https://amar.org.ir/,government,*,"pdf, xlsx",پایگاه رسمی مرکز آمار ایران و متولی  اصلی ارائه آمار (496 زیر شاخه) بخشی از آمارها توسط خود سازمان آمار انجام می‌شود و بخشی دیگر از سازمان‌های مربوطه دریافت و منتشر می‌شود.,True
2,مرکز آمار- وضعیت سکونت خانوارها,https://amar.org.ir/population-and-housing-census,government,اقتصادی-اجتماعی,"xlsx, pdf",اطلاعات محل زندگی خانوارها بر حسب نوع محل سکونت، نحوه تصرف، مساحت زیربنا، اسکلت واحد مسکونی، مصالح به کار رفته و ...,True
3,مرکز آمار - وضعیت آب و هوا,https://amar.org.ir/salnameh-amari,government,آب و هوا,pdf,منتشر شده در سالنامه‌های آماری مرکز آمار، بیشینه، کمینه و میانگین دمای هوا، مقدار بارندگی، متوسط ساعت‌های آفتابی در شبانه‌روز، متوسط سرعت وزش باد، به تفکیک مرکز استان، ماهانه از ۱۳۸۵,True
4,مرکز آمار -  آمارگیری از گردشگران ملی,https://amar.org.ir/tourism-statistics,government,گردشگری,"xlsx, pdf",نمونه‌گیری سالانه از ۱۳۹۰ تا ۱۴۰۰ - تعداد سالانه سفرهای داخلی اعضای خانوار به‌تفکیک اقامت شبانه/بدون اقامت شبانه، تعداد نفر شب اقامت سفرهای با اقامت شبانه به‌تفکیک نوع اقامتگاه،  تعداد سالانه سفرهای انجام‌شده به‌تفکیک شهرستان‌های مورد  بازدید و اقامت شبانه/بدون اقامت شبانه، تعداد سفرهای ورودی و خروجی بر حسب نوع وسیله نقلیه مورد استفاده، تعداد سفر و نفر شب اقامت سفرهای انجام‌شده بر حسب نوع سفر و استان‌های بازدیدشده,True
5,مرکز آمار - گذران وقت در نقاط شهری,https://amar.org.ir/spend-time,government,اقتصادی-اجتماعی,"xlsx, pdf",تحلیل داده‌ای چگونگی گذران وقت در مناطق شهری شامل: گروه فعالیت‌ گذران وقت مدت زمان اختصاص‌یافته به هر فعالیت، وسیله رفت‌وآمد برای انجام هر فعالیت، بررسی ارتباط آماری نوع گذران وقت و وسیله‌ی مورد استفاده با سن، شغل، تحصیلات و سطح رفاهی افراد,True
6,درگاه ملی کاتالوگ و مجموعه داده‌های باز و کاربردی (data.gov.ir),https://data.gov.ir/,government,*,"pdf, xlsx",درگاه واحد گردآوری داده‌های باز دولت جمهوری اسلامی ایران زیر نظر سازمان فناوری اطلاعات ایران,True
7,بانک داده‌های اقتصادی و مالی (mefa.ir),https://databank.mefa.ir/,government,اقتصادی,"xlsx, chart",این سایت ذیل دفتر آینده پژوهی، مدلسازی و مدیریت اطلاعات اقتصادی - معاونت امور اقتصادی - وزارت امور اقتصادی و دارایی فعالیت می‌کند.,True
8,آمار گمرک جمهوری اسلامی ایران (irica.ir),https://irica.ir/web_directory/55334-%D8%A2%D9%85%D8%A7%D8%B1.html,government,اقتصادی (واردات/صادرات),"pdf, xlsx",آمار حجمی و ریالی واردات و صادرات غیرنفتی- گمرک ورودی/خروجی، کشور مبدأ/مقصد، کد تعرفه کالا، وزن کالا، ارزش دلاری کالا، تواتر ماهانه با شروع از سال ۱۳۷۱,True
9,سازمان برنامه و بودجه كشور (mporg.ir),https://mporg.ir/home,government,اقتصادی (بودجه و هزینه‌کردها),,,True
10,پایگاه اطلاعات قراردادهای كشور (mporg.ir),https://cdb.mporg.ir/,government,اقتصادی,-,کلیه قراردادهای تجاری بخش عمومی کشور,True
11,سامانه مدیریت خدمات دولت (mardom.ir),https://khadamat.mardom.ir/,government,*,-,اطلاعات خدمات دولتی و متولی آن خدمات به تفکیک خدمت و سازمان,True
12,پورتال آمار و اطلاعات سازمان ثبت احوال (sabteahval.ir),https://amar.sabteahval.ir/#/homeGlobal,government,جمعیتی,"داشبورد, xlsx",تولد، فوت، ازدواج و طلاق,True
13,مرکز برنامه ریزی و اطلاعات راهبردی وزارت تعاون، کار و رفاه اجتماعی (mcls.gov.ir),https://ssicenter.mcls.gov.ir/,government,اقتصادی و اجتماعی,"pdf, xlsx",,True
14,سامانه ملی انتشار و دسترسی ازاد به اطلاعات  (iranfoia.ir),https://iranfoia.ir/,government,*,pdf,سازمان‌ها و شرکت‌های دولتی موظند داده‌های خود را در این سامانه منتشر یا به درخواست کاربر برای او ارسال کنند.,True
15,بانک مرکزی جمهوری اسلامی ایران (cbi.ir),https://www.cbi.ir/,government,اقتصادی,"pdf, xlsx, chart",آمارهای اقتصادی و بانکی (تورم، بودجه خانوار، مسکن، ارز و ...),True
16,بانک مرکزی - عملکرد نظام‌های پرداخت,https://cbi.ir/simplelist/15725.aspx,government,,,تعداد کل کارت‌های صادرشده در نظام بانکی، تعداد کل تراکنش‌ها به‌تفکیک خودپردازها و پایانه‌های فروش، مبلغ کل تراکنش‌ها به‌تفکیک خودپردازها و پایانه‌های فروش، به‌تفکیک بانک‌ها، به‌تفکیک استان‌ها، تواتر ماهانه با شروع از سال ۱۳۸۶,True
17,سازمان اداری و استخدامی کشور (aro.gov.ir),https://aro.gov.ir/fa-IR/PortalAro/1/page/%D8%B5%D9%81%D8%AD%D9%87-%D8%A7%D8%B5%D9%84%DB%8C,government,نظام اداری,,آمار و اطلاعات نظام اداری (کارمندان دولتی),True
18,پایگاه آمار و اطلاعات آب و فاضلاب کشور (nww.ir),https://www.nww.ir/stat,government,آب,"pdf, xlsx",,True
19,شبكه آمار و اطلاعات وزارت نیرو  (moe.gov.ir),https://isn.moe.gov.ir/,government,آب و برق,pdf,,True
20,دفتر برنامه‌ریزی و اقتصاد کلان برق و انرژی,https://pep.moe.gov.ir/,government,برق,pdf,,True
21,نما: جایگاه علم، فناوری، و نوآوری ایران در جهان (irandoc.ac.ir),https://nema.irandoc.ac.ir/,government,سطح علمی در جهان,"chart, text",زیرنظر پژوهشگاه علوم و فناوری اطلاعات ایران (ایرانداک),True
22,آک - آمار کتابخانه ها (irandoc.ac.ir),https://ak.irandoc.ac.ir/Home/Index,government,کتاب و کتابخانه,"chart, text",زیرنظر پژوهشگاه علوم و فناوری اطلاعات ایران (ایرانداک),True
23,سامانه شفاف‌سازی وزارت فرهنگ و ارشاد اسلامی,https://cfoia.farhang.gov.ir/,government,فرهنگی,-,مجوزها و قراردادهای فرهنگی (فیلم، موسیقی، هنر و ...),True
24,تهران نما - شهرداری تهران,https://data.tehran.ir/,government,داده‌های شهر تهران,chart,داده‌ها در حوزه‌های مختلف مربوط به شهر تهران,True
25,سامانه شفافیت شهرداری تهران,https://shafaf.tehran.ir/,government,داده‌های شهرداری تهران,"داشبورد, xlsx, pdf",معاملات، برنامه و بودجه، شهرسازی و ...,True
